"","Age","Sex","Geo","Year","Population"
"385","TOTAL","F","LU",2013,268627
"386","TOTAL","F","LV",2013,1097245
"387","TOTAL","F","MC",2013,NA
"388","TOTAL","F","MD",2013,1847151
"389","TOTAL","F","ME",2013,314092
"390","TOTAL","F","MK",2013,1029156
"391","TOTAL","F","MT",2013,211484
"392","TOTAL","F","NL",2013,8472236
"393","TOTAL","F","NO",2013,2515367
"394","TOTAL","F","PL",2013,19636442
"395","TOTAL","F","PT",2013,5491592
"396","TOTAL","F","RO",2013,10258594
"397","TOTAL","F","RS",2013,3684497
"398","TOTAL","F","RU",2013,NA
"399","TOTAL","F","SE",2013,4789988
"400","TOTAL","F","SI",2013,1039760
"401","TOTAL","F","SK",2013,2774857
"402","TOTAL","F","SM",2013,17234
"403","TOTAL","F","TR",2013,37671216
"404","TOTAL","F","UA",2013,24409948
"405","TOTAL","F","UK",2013,32481347
"406","TOTAL","F","XK",2013,NA
"407","TOTAL","M","AD",2013,38838
"408","TOTAL","M","AL",2013,NA
"409","TOTAL","M","AM",2013,NA
"410","TOTAL","M","AT",2013,4123622
"411","TOTAL","M","AZ",2013,4648793
"412","TOTAL","M","BA",2013,NA
"413","TOTAL","M","BE",2013,5487436
"414","TOTAL","M","BG",2013,3545073
"415","TOTAL","M","BY",2013,4397526
"416","TOTAL","M","CH",2013,3968524
"417","TOTAL","M","CY",2013,421036
"418","TOTAL","M","CZ",2013,5164349
"419","TOTAL","M","DE",2013,40346853
"420","TOTAL","M","DE_TOT",2013,40346853
"421","TOTAL","M","DK",2013,2778852
"422","TOTAL","M","EA18",2013,163343747
"423","TOTAL","M","EA19",2013,164712638
"424","TOTAL","M","EE",2013,616167
"425","TOTAL","M","EEA30",2013,248009886
"426","TOTAL","M","EEA31",2013,250066369
"427","TOTAL","M","EFTA",2013,6684117
"428","TOTAL","M","EL",2013,5366251
"429","TOTAL","M","ES",2013,23017760
"430","TOTAL","M","EU27",2013,245294293
"431","TOTAL","M","EU28",2013,247350776
"432","TOTAL","M","FI",2013,2666622
"433","TOTAL","M","FR",2013,31772665
"434","TOTAL","M","FX",2013,30866009
"435","TOTAL","M","GE",2013,NA
"436","TOTAL","M","HR",2013,2056483
"437","TOTAL","M","HU",2013,4715953
"438","TOTAL","M","IE",2013,2272790
"439","TOTAL","M","IS",2013,161438
"440","TOTAL","M","IT",2013,28889597
"441","TOTAL","M","LI",2013,18247
"442","TOTAL","M","LT",2013,1368891
"443","TOTAL","M","LU",2013,268412
"444","TOTAL","M","LV",2013,926580
"445","TOTAL","M","MC",2013,NA
"446","TOTAL","M","MD",2013,1712346
"447","TOTAL","M","ME",2013,306801
"448","TOTAL","M","MK",2013,1033138
"449","TOTAL","M","MT",2013,209880
"450","TOTAL","M","NL",2013,8307339
"451","TOTAL","M","NO",2013,2535908
"452","TOTAL","M","PL",2013,18426093
"453","TOTAL","M","PT",2013,4995697
"454","TOTAL","M","RO",2013,9761480
"455","TOTAL","M","RS",2013,3497008
"456","TOTAL","M","RU",2013,NA
"457","TOTAL","M","SE",2013,4765905
"458","TOTAL","M","SI",2013,1019061
"459","TOTAL","M","SK",2013,2635979
"460","TOTAL","M","SM",2013,16328
"461","TOTAL","M","TR",2013,37956168
"462","TOTAL","M","UA",2013,20962744
"463","TOTAL","M","UK",2013,31423950
"464","TOTAL","M","XK",2013,NA
"465","TOTAL","T","AD",2013,76246
"466","TOTAL","T","AL",2013,NA
"467","TOTAL","T","AM",2013,NA
"468","TOTAL","T","AT",2013,8451860
"469","TOTAL","T","AZ",2013,9356483
"470","TOTAL","T","BA",2013,NA
"471","TOTAL","T","BE",2013,11161642
"472","TOTAL","T","BG",2013,7284552
"473","TOTAL","T","BY",2013,9463840
"474","TOTAL","T","CH",2013,8039060
"475","TOTAL","T","CY",2013,865878
"476","TOTAL","T","CZ",2013,10516125
"477","TOTAL","T","DE",2013,82020578
"478","TOTAL","T","DE_TOT",2013,82020578
"479","TOTAL","T","DK",2013,5602628
"480","TOTAL","T","EA18",2013,334573724
"481","TOTAL","T","EA19",2013,337545629
"482","TOTAL","T","EE",2013,1320174
"483","TOTAL","T","EEA30",2013,507811501
"484","TOTAL","T","EEA31",2013,512073641
"485","TOTAL","T","EFTA",2013,13449030
"486","TOTAL","T","EL",2013,11003615
"487","TOTAL","T","ES",2013,46727890
"488","TOTAL","T","EU27",2013,502401531
"489","TOTAL","T","EU28",2013,506663671
"490","TOTAL","T","FI",2013,5426674
"491","TOTAL","T","FR",2013,65600350
"492","TOTAL","T","FX",2013,63697865
"493","TOTAL","T","GE",2013,NA
"494","TOTAL","T","HR",2013,4262140
"495","TOTAL","T","HU",2013,9908798
"496","TOTAL","T","IE",2013,4591087
"497","TOTAL","T","IS",2013,321857
"498","TOTAL","T","IT",2013,59685227
"499","TOTAL","T","LI",2013,36838
"500","TOTAL","T","LT",2013,2971905
"501","TOTAL","T","LU",2013,537039
"502","TOTAL","T","LV",2013,2023825
"503","TOTAL","T","MC",2013,NA
"504","TOTAL","T","MD",2013,3559497
"505","TOTAL","T","ME",2013,620893
"506","TOTAL","T","MK",2013,2062294
"507","TOTAL","T","MT",2013,421364
"508","TOTAL","T","NL",2013,16779575
"509","TOTAL","T","NO",2013,5051275
"510","TOTAL","T","PL",2013,38062535
"511","TOTAL","T","PT",2013,10487289
"512","TOTAL","T","RO",2013,20020074
"513","TOTAL","T","RS",2013,7181505
"514","TOTAL","T","RU",2013,NA
"515","TOTAL","T","SE",2013,9555893
"516","TOTAL","T","SI",2013,2058821
"517","TOTAL","T","SK",2013,5410836
"518","TOTAL","T","SM",2013,33562
"519","TOTAL","T","TR",2013,75627384
"520","TOTAL","T","UA",2013,45372692
"521","TOTAL","T","UK",2013,63905297
"522","TOTAL","T","XK",2013,NA
"523","TOTAL","F","AD",2012,38252
"524","TOTAL","F","AL",2012,NA
"525","TOTAL","F","AM",2012,1684000
"526","TOTAL","F","AT",2012,4309977
"527","TOTAL","F","AZ",2012,4651601
"528","TOTAL","F","BA",2012,1963655
"529","TOTAL","F","BE",2012,5643070
"530","TOTAL","F","BG",2012,3760457
"531","TOTAL","F","BY",2012,5066857
"532","TOTAL","F","CH",2012,4032409
"533","TOTAL","F","CY",2012,443018
"534","TOTAL","F","CZ",2012,5347235
"535","TOTAL","F","DE",2012,41637080
"536","TOTAL","F","DE_TOT",2012,41637080
"537","TOTAL","F","DK",2012,2813740
"538","TOTAL","F","EA18",2012,170876470
"539","TOTAL","F","EA19",2012,172496600
"540","TOTAL","F","EE",2012,707079
"541","TOTAL","F","EEA30",2012,259290376
"542","TOTAL","F","EEA31",2012,261504051
"543","TOTAL","F","EFTA",2012,6697052
"544","TOTAL","F","EL",2012,5662522
"545","TOTAL","F","ES",2012,23719207
"546","TOTAL","F","EU27",2012,256625733
"547","TOTAL","F","EU28",2012,258839408
"548","TOTAL","F","FI",2012,2748733
"549","TOTAL","F","FR",2012,33671600
